id_pagamento_cliente,nome_titular,instituicao,ultimos_digitos,validade_mes,validade_ano,cvv,token_gateway,ativo
263,18nQJHki74CvH6LULg5OEEq6c6RI3FNvGSmmeoKP8YGrmBE7mwclTw==,Itaú Unibanco,7mMjNwEBLdkjKzk5jLJs5QsHkuOwQzKrGTKayPv3MES8dMRz,jTEJHogt8gEwpCSmlcem/iD+yYEpMMSSw0YjVpSTvsm3rQ==,ykYw4tqGfqABsxfVsTT6KwufQuT3kDh7HJ1o1PvwMXjOfQ==,145,ibwF/DbT3H0bGuG/bScqNR5OTp0aVBNRxssr3Wd5CU4HIrHy9wsq6e0qPWDx6aa+EI5SqgkFvD3X1suBSbL9/jZfX+M=,0
264,jLV7TsuxDf9fBwGyC7cHW6I0q1jx8jcMfWxqpbMngM4aOGqnCwkyA5Q0N8o=,Itaú Unibanco,HtgVCbhFMjJJHQGfUuZjIg8wFDoRG/wNASyNpKiUU7IVOG9Y,Lovf29SRP//xLEJjvmxPo4IaZysyHxa1RgjHtRTmBKlYkw==,+qX+1CKivsN4nmcfDlVIfNzG2EsK+gocWlFeMyhR00fWJw==,188,NTKtYrfCGTZN9ks9luvY6l25BlJtPWx8dLvO7w7USs8ml+Uc8goYa/NICxVCUqXIc/PyGUHFOUuQSs2FcoPEiKend0U=,1
265,4otEprvT0/6MX4JSgAJg+kmsd/Qn5U0IsLOGsUOZnlTFbOA2eXCITr/A+aO/,Itaú Unibanco,wyiXSnqudyvvQ8i0AkMhY/QyeuwFZUZST/XzZE5acWqTbMq2,r2aMwGFX7LcuqLO+750gB50S8otS2BGYYl+XkCeBcvqGbw==,puuAiZVZvnF2F+eFCIYnDxBIG7q5fD84oyFiWUeKx05yQA==,211,TzVlEpnJhv5D3PVo7x14RO65xWRlRNORotkgh6JW+XPhTbYhquLUUSdxK2JQXFF05JwZ1NF/o7jiFsW5AtgYVNgZ1nA=,0
266,MExpuMQJ5MSVDhmKNg03qepCr5/xP1OvbeJiYELLXKoCRgiXI+//5iEG,Itaú Unibanco,r/cqV4GriFn0xMD8t32E1gJth669e3d8+20kVPFn5Bn3atYF,8kahRC0Lgh9ir+/TjyjJ8ITzAsq3KOR/Ka/L9MMej++fiQ==,BX+4AoVmKCWtUf3LJcOxG56yhZP8WphqtymVZwoe0nJdYw==,107,mWO2nx3JW5YCJoj4t2Sdi1TXe8jZtN1bFzpuKNKWEBrof+AwxrCdFrz3kle0EjlV3ORoZNNBnYlfPR2Wz0mk3Dc2nz4=,0
267,KE2vFBE/mRcBWVjCtWCK94R/knISMfQ6s7LAggGBfOrbSQXGs9l1V7f2xcqtGDFpziU=,Itaú Unibanco,VFzKu2frZ0GKRGzvNq1KFBRjSy6uGY/MHrYXWtHZGtJTEh/M,OIQ+26iDD2O9ZswEnpiiiHZQjoAgGOLv+vuYrcYOx/BAXg==,0zRuH0PwFcuM4P4m051KsnsWwnW1ALOg3Q+fPf8wn5+Zdg==,753,Xq2l9MNW1vol5hpPMuuurTjwWOvUasyYiWX1CoRSdNJUJKG0Mpr7HtOawYqXAzP6n+t9Fxs5pr1UTUyFs6ycQNTl5Ww=,0
268,bKfu7vLJHCBRyLITIswisdNWuu9Oam4a6fyzTIoXxLZFpcE0h85w40qsDsW2Ay3W,Itaú Unibanco,TtZWZSNDRopxDKrf911Pjkrebbcg60Ul1rN2tNuGoPMyrT24,B16X2s9uWhvxAKntszvXA5b9BxaZJJfSZcc5EZSv678TOQ==,kNe6UV02hgM/Kili8NsTzMCU2a81fIBLU7G5nKvpONP1AQ==,593,ZFH2z9wIiY1+grzP/EgVP3cTKiisS+KRmFrZj8BlmPmGPrPca9RWHM63NoQoLfoaYW3Wom81iiz4ieNt/x/lMq5ygMY=,0
269,vAfnUy+ZKpT9y4E76EIskTlt2h2GqH9pUkLNSjth5OwCb93nb9ING1LwY1U9+Wc+baf83+b1,Itaú Unibanco,3dQqgMlgeUNjpewMSUGtHqpuKBxDg17biawPag+f/RYQ14bA,REA1FjbcP3gamjmE7NiQ2v2HTOkZR3MMihZikH9Z6ceTeA==,/ppy9mkJv6AUh6b9Wf9/vvjNHEAwEdZpMneNiBAsXdru1A==,643,ww5mtiDBohuweHuP0ci7rWUwRCkUrI72+sDj98kM+xNKmxTlejHbh7R3KCc3IfCucA2SFRwo+ihD3oTSoAwiXrNBoWQ=,1
270,9oB283HnE/cZL73xL3Cbs0Aoekk41GCeoX6V9vKmZR/d2vcqhyWQjU32lavvRvvYYLI=,Itaú Unibanco,C/H5gGyCi6u/90QtOduvDvBHnn755uRk1EmeeNZV/Zm/3Zyn,67d6gJtMlMvMnliJRz76oX697cb5358XG5g5+uaiC9GeGQ==,Zdiw9ye3uEO7MvEMbYWvzH1jgyIqMDp+il1hubMcEG8MKA==,564,o9B2j0gMK/ZmdPAfhK3kmGaznrzl8dodTDxbSNkPem3nfvNlnVMNTPWrXa1K8dVDNsyi1qDOLFvvAuev9/+8bF7NJQc=,1
271,LSD/Z5x/0TB2UTYAGQ7ILvYdK6v4rOjcmQq02P615jHzN1CshWBDb1Ny7hfj,Itaú Unibanco,gFtxQnTVlEuPanSjr2ISEjwI6IVUmLd7TeH39nPcHlsdVq/n,CgvQ8pXfPM+5VzGCtDyCbaPm5a+IRbZQzCey4m8RNf0Lgw==,ZbGuqI4kBR/ym9B3P7vq4J5fkEVdH3xDY4xbRw8+hmo9mA==,772,uISAWaYDOdfW2TjY4ctjWRjsKxiYqKFL/ywU0BZf3vkdQEE7+ZAdbFDDNsGxz4mjrPxbFOC1vU1ldQiV8f4wnLKSx1E=,1
272,nMbs8Z41wyFZVuLgCrIjrzv85cZoqDL+nu/rZjqT1eCm+e58TCh3VsAGMdRIis47outLXN9x,Itaú Unibanco,LULsMrjD65pwbULVCoQni227KMIZ3bkV7HSDibuD8R1KeThQ,6lpJR/0zj58Ljkf2ufGWDBcWTqeTJ8lYJK63taz6J2zcSw==,Ew8f1OvEIYjc4sF/v1YUPTxczh0tyMbTVuIl3zPG4YOpDg==,615,A/Qdc9EBzaLNrUQ2epPqSI434tcP/LuCeWZo/R9ai4zRq4mWIx1yxoOyAAafNdLxEF6428I1tDHC/A8fc0mr1qHIzqk=,0
273,kkY7ZZGzr1C+pNMHg7y+vtc2/IDFdTpNwLjgAlCqvJSO5UppZs2cOgIHm3Y/swhb/jbwwPI=,Itaú Unibanco,R9a+sCpkDT+MFxrM2OdIJMZfO+FrhcRtzpbirx7T9kQAoaby,CD0j5hkVkBZ674KK2pvvmtIRF0ElFYOh6iERDOy9yqMIxg==,oH7e8s/8sQcD4m5k1HKnRbriLBho0oTk4yVFCItjIk+isg==,275,5RHOoSMuMXFTiDy4Pxo6qNFY/QzWc/ih+GZhZ69X3vjdseo2zM3qphlq0chYR1Iz6UcrYefkdfx9XlBBVov+5Lg7wg8=,0
274,BnfUtH6+3wAfCgUXLZ5cl8rgC1tvXGFFtJy15WGONd48mxdvEuYqOZOonQXkZ7hdMA==,Itaú Unibanco,VTV+vePwj7w6MD6LVOlXWOvEzh6NWdNRrAVQWoW+2Qwtqi7i,A8fMA9BCIKhkT384QumRM4YYywg1XdAWftuU8m4bCXZlow==,I/yP2iRZwQ7Vwed/3kgiMHZ7zVqakPcVPfdXk6QSDaK7gA==,907,RK5gTFJLdrx0HcHE/ZlBIWpfR/p3K+KlxldSymzSvRXe8ctLt08vjRteH5Jlih0B4YAypdKAzMoOmTYSkfARM4CJV+Q=,1
275,N5rn2Z8atZEPY3WWsUbxyixQgN+dn3dQRRDWEPifmGIjQcSCy3iuGModvvw=,Itaú Unibanco,PcNmanXTSu5s4O9q/JXazEiGvGC9sUrrdGwBJCVS1hB/fkHm,wWXAQ38Q8Oz0W36Zn6iJVrjByHWkMhx6p8DiYyzdmsknfA==,3gvbR2ltOa4mb2n6zop8vgwlboVSoO+/BS/ILGrAGC04bQ==,841,zjw0aAEOQUoZ8f2adUzUHCrvIcq/knj79dF3NBSbhTNd3KXQVkeOBg445gWJAjMDVlxlcpG9Vln8p05Nes8l4ssV2u4=,1
276,YyyscKuaYwueK4+byV2UTm0X9/EZWDQanir8JjTT/2L1ryawHVOcK1B6,Itaú Unibanco,WBkOEXQLdIfSki+yOxKUessZ4zwD00LAhDN708Sw0oTS1RqO,iE/Ct0VHIgJd7Q29hiQmtDu673Ofa5RGpznxgz7pi/cdqQ==,J8LHlcPzFW57wQvIiQ6TAgQhM8VvjDBssgvtHWpVwddR4A==,666,ftH8XZFZ7FGcnG/r5RG6fzTDCEFCzac4hKedOFU4A7N+IaVg2XLTTFLxYs6nGEkQB7qyTHhAw/vN5jy4TlWKGEfLg7I=,0
277,d47XrDtX0DX/Lj4B9Q57wEPqE5WMBCqVaQhS9Bnc8NHpoyhjGWprc7vxAbvQzOrA,Itaú Unibanco,0yqVch+Ybpnfz8+9fZpLIns+8bAcq4riesQj0JQtmsaCo40G,HTXliv0dup6r5p3qP9BMl8i+H4G9O/ad82JGU5gNFSi2EQ==,zzxDWAUIBI2sPrve8U9lMuObkgr+yYnfstzYsvr3QaPdCg==,723,mRG6g5l2cdhe1JJRlJKv0J/eBbZw5qeG70eNZD7g7H2Vc6Ec/gsvBxbPGoVk0f2AgfbGF3OdfOaqIJZ0YiGZoa5f6cc=,1
278,qAFZd+yChPMa5VFFb3+6IsbvPOYc/+LOn9xRJWJTBjo9ZUnA89LOMp3+CfImRA==,Itaú Unibanco,k1WvOf7qnI61WHah4P+jy/MFGxD/KNngwaXxHvn1IBtjL+3L,I6TlfmB9uAknE9qU22fUQOKB5rEvyBjOg6gtvLuxWvlkhQ==,PTbou+6nw8dQiqvhw2KdL/dAmpbrmm7F7g21Ann73nsjYw==,966,rFNoj6x4h2uIQTLrypFwjeKbeaKIt13tqhCmyGJiAJ+LfIGfG8O+lbf08pK8VsDH3u+lClhyeU0DU/HmxVkpYd38dqw=,1
279,fGTehu6jcu6nndBLt58UkkaE74DdtuXWLDwa62iSnP7IeGMgrPeLHlB9Gddw+hY=,Itaú Unibanco,4EqZLr09Q2RiZfbhNsJJ2K+rMoXOlatDQ/AKjofwz7jlqjL8,RgLrROjxIUXXysl06LAzkPnkqaKUm+ck49bvnjNT/hBBGA==,IBNMCb2DFYfiB6/b7e2E0w8JAeRZ5nSJTfXaECN+yNA2vA==,924,yvBJtlM80OlxY//aWPMcbSfGkHHzU40sICavWz6dgvpO8pD3lSRfcs2krFCRJagXOi2Zs3cIRBni/1M6vGOtYZXN5ZY=,0
280,b/SOGY+cPFGoZFWhFfX5eV5wADWBAh4zLaxLfMp0sGCVdX+CUkyUKEM6oLElMglT,Itaú Unibanco,vgfgIjnYGxxcV6VFOQr+9gUqrVO4iQVba6cH8D1XkVgLhbFw,Sc7WG42hSeWsgMXhP8UV4h2L6gfegQqsGmb2sOLMrlwi/A==,Hs20yn5keznn8fLIQXICSGTlduQJP7b/pLJ/IFuaqdRcwg==,823,yftRBjGLUAmPhw/vUe5yDqm69i9Zn1KO53YeiLvPhOuZJvgkbnTPO/3Uf9kn7I5KfTIt1GrQrZV7kpJy68bdOvlxWwA=,0
281,TSFIGtvsXGYPMZ8TTWcuDOf912NK+dHh0Qhh0hZt7X+a3/FLgM1wQ5y3vkwY+3ZOdsyA1JrpdiA=,Itaú Unibanco,fvyCv6F+flNP0zLolqAwBPvYbcx7Ihicw5x4U6Q4W0/81oSc,dFBN2w+DitUeANjc9r1bmntsTJPe+mjFeDt9Ny75lYOyNw==,rde/hPWNVRo/3yQAhjh3oKsUUxNlrWImwR2kPxGb6OW8bg==,513,Fwb5SUjpr+9CHp4oRli0whLSY5tHSE9xG+zVNnx2UYhDCTQdIbH/cvqxE8ZVrwPOHUB/b9pKlMyiUvHhmVmSOPGQWPA=,0
282,HbLN5trb0K26It1jyJM28rI8kN80+RP3FQi6iNSSF4cP5PRkjrrFtJrXVik9,Itaú Unibanco,9L2iGUHHL/8+V6W8nejbfNB+3t1Nlg6Whrhu3CSENKvX4YwT,t2WbPlpzygANrm5d3x+CeKUgagXxMMzZga3kGK87V5hurw==,FeJNFUzerblOCdZ9WoZC4FLhvTduw2p4eZV+e2OudNClcw==,779,ji8g9x+O2Re9aCt8iUNfGK2Vpdt9ycxnRjq6zW1G+aqbFk1bhMtN2qKO05SlvSCBVVbV37jXalX4RE8i7JLzNROfYrA=,0
283,bIX5869YaVipnkOVNIkG5zU+evfSKcMe4ljM3zJVnd/PMo7TlbLJ9ZwqGw==,Itaú Unibanco,csbUspC0INuwxsMrG5EZzHjkYtl5peCOFxm05IF/cwHx1xq9,xMuDm7L3SG+s2DaC2ZN3nU4zTn5DIz/1CFxMW9HE93z00w==,XyJeoZDSrjeCyOtJ4xsukA2IY1a6I0XKp+DSTviEJ8UNWA==,860,Oax2gcu/DUCrbjSKgpKZmnP2okaQ2wgNvHeyJM/5XlejvKIjOuxBnhgp+MZef0hfzFNwM+mPwe8BzvTr72d3yh9w1DY=,1
284,R28lW8opL+MQsXo+svhI1L0WnwwMfY8dwVCebA4mEL5wb4A2la13JMjNwyBw,Itaú Unibanco,lcq0HnTsWLjkA8qmb9CT14LkG2wUsq4v+y1+j0/gyksSF7lm,aeNkDW/TEJtFbierOndhG2Xy1q+7js5pf2s8wsIh2l2mAw==,SFRzX6S8h2zVA/1rrbW1hyp3ko1fKokORSFmtxa+CdvBSg==,278,dD4mUbYAZYLSqMPHa6AZZSYZ5TLB3rYXX7LmdXQaLaZHVxHU3br4mwt3bNRE64G3FlUn5P3AEp4Pze8ed8PNjg27n90=,1
285,bKOPJBz11vjnBgc04X+napxtHkwybIqdGRC6hLUeyWzypLQKGszwXSR2hc2k,Itaú Unibanco,tGlFgb0t9JWTzPF28SWxxrcVEPpDsUwsq5e5MLSI3R/1A8ur,kTTeVuUFhKcL0At04E+GLzfrmLNj+atXkeyu40+6EwBtBQ==,MhbF4ccTQy5v+ejIu2gsqF5n3b3+lLSVe5wVnr8Ab6nvlg==,538,blmOumw3nsI1CNH9eWsY0H3ZrikivmRN/tPTqKG0akzs5ENAufCpmaahHSNWt4D3Oyv/259rHjjxNeES7RpOPC2G2kE=,0
286,hZxNhyNqYLWAb3NFcoPxqWllkf2G0gXO2TKiP3T9et2mYuPrjOJmtclentUgRZKPxa+O,Itaú Unibanco,NX0oczt1wmvkvlbi+eS5kaPyRYKaXuspePPQnctbPDoYu2gH,4ksxKvuq7XYkKfEl6WrgFq2GGp+LJlILoSB+1xUFIyFtbA==,F0r5qye2ZqFtJFBMDXSXZL/B6rraAOEthhgNOJs5ncEqYg==,074,3U1JUoGqMKKoRy8QamP/kiWBiTIiDetgT8YC2cRb1xEpTCiBP59nkrGS+8HUaQ7Vhhc2LOA09QY+g76L/+GJFHfRhsQ=,1
287,mfuSVaUSvwpRet14Fsp9Nd7J17zVQP1p1sxSz50yGQ6e5DZUvW51nQgkiK6mX6bIZpw=,Itaú Unibanco,K4VIxLJ4F0QVgz4gmw6cjGYg3iMD6Ed37/hseMrejMLaHkfP,m6vJQrLq9QYY4Of3omPdrmwPVop+Cz51g3kcoftu7V9wSA==,E6FFMVwLd9lmvOvFxOoxi8igZjfp23JK19OG1RQL00W9gA==,395,ZD3u5XOUSvCB5lxqLp5KfZprxqDhFYtw9tZ0sWT0XbTC0t+iQUmLQvDrpArqKuZnXyVkmtotYXwcr9E212jB8fjoYvY=,0
288,cKAuIHtXwb2s1uCiA74TJh99/EejlSMxaB7l5XKs9ffCJD69vHNmxTrfnBU2PPnc9A==,Itaú Unibanco,mOZcrAajVyflI6IA1++wRImJe6iBnAcDYH+177YSHoVGlHlG,j/WmNC/G21FANTHn0AK/MhKh7haJb0mgBLOAVd4J7os7LA==,PcVmsjfeDIsXf2fypuo/4+g/eyfxAW5d4SZo9P4USTWDbg==,643,ncFEe5tHYnpGdYYHCaR72U2Jb6BNK+caRjauVpxH8NNRlBezVsxqZee3tdSjaaEA26Bge1lK3CzPcWajd4BkSqimiuk=,0
289,LzYpX5+pBjpcCm07c/0i8slaI0gMKTvzKEAl8TU/cs18/LXCCQDwBXKxJg==,Itaú Unibanco,5OrddD5pkLKVPjzi/do2wXB0Ihnz9LB/1UXItZ2sFmAX4BNa,+BzsjwJfn8J69Y8t9D/1kkMGza5N8skCs6bSFYUvAIktFA==,zO+CZqz7etvor5grnVXGjSn41Qk4IpZdpaPaSin6RvDlNA==,409,5dfq2Gq39D0SQa2jm1u2vVmhqqGBNQkikXirqBsXlU6myY8aYdUuk4lzW3W8FGgXzPzm/2t91hpNN8OIJEi/SfshPVo=,1
290,mbHUBIaWdArPCtpW8Maxs3b3NsrHd5xfCAsz4V7WnX6FNuC7sn9PJy5hx6hs0Q==,Itaú Unibanco,tzMuJRpMXXbKS0cJs9dBpJYdCXeCYBdpbcDG7dSyqOm7vhCH,QFBjoBuovZNnKDzt0P6JLg5p+aOfWIjtmpiud2bJHgGwSQ==,iBtnGia03U6+e20JM3O9ZvrdSKEAwYjyjfKwM9wbys1JUg==,252,8QngVWISgJzW612e7s/z2e6mospg1ewS2o2qCx69C3YC1J57f00E54RpTDm+e/2GKTh4RLx56+SLd9Mo1zSM9EApWa4=,1
291,L1OV4+rfGWB6y4RCSnxfnqj5pQq6mVeOtsmvZ1LJRbgfyKTZxxxpB6yQRw==,Itaú Unibanco,7XbE1N4lhCk6Yj5bH9hkZD5+4A0lUUzCSpzzyptXumFMglFs,yAHkSKd8l1HE0GrAm3QSPTxO6Jav/nxq6uOX/chzjEeCBg==,ucn9ePjTdL4GfIGVplTFxc1upVWl9J4z1LkwTby2wIwNiQ==,517,UJicSQczDH6UBlIm52StvOpM0B7xGI25uN5IZgcVaaAXYfd2Xin8DskI81RbBrrjpxGCjTStc3azLeY+txMsXxdaXAQ=,1
292,BcmlbE/LHS3iRVsKh5JHObNI7uGo9Xp2OTRJQ3yh7fXGSqu/UsgI2I1qPA==,Itaú Unibanco,MDM3oKIk+r8y+5LPVnZyc3oh9iol4j0/HX8uOF4Gv/Kg7OE9,2yCxa3xZjZfjorUl6HEezDA1f62QfjqSApPPNgQJqfedDg==,1tZX4XvvnRD2xFoOd4tZlCz4tT6C8eCpFdSdrfBEYP/A7w==,226,7b42D0ZpGPfaSJx+GDl1Hclff3UPW+lfcBgFzpvvVtK6yPFXpLrZz0jngR9BYhZUen0zHNcW/y+C1UtFsPd98uD/LRM=,1
293,fh7mR62B0jnuUYzxXNd/tSD3blFJampcw/cnBt26hpBX08SPnFyxEmfE6bo8Dg==,Itaú Unibanco,g3RsCFvCfD399LoVYr4fRMky1wgpScFa5TAPa6J6lFEFhVbN,QLRhOOBwD6WMi2ktL9DQpaVGJ4mySgiZNrb2xljNW64x0w==,l5cKVLcBdQtwVCCLFut/gfck57UwddIefAzjXvXFoP7xlQ==,919,WS/aU5pY29adXz4mSGNMFlFFQ1DtIuau7ePpVHXZ6GhOJCAzEYYdc532jdut3hCHcl8scSdXaqBWP8WPwsFVLS6wmcs=,1
294,BjvEEDfDXx2k+oIP7Gh2ddWef4yB7mc7egyVHJa3dc8uy2lxMdFecZWQnWVe0ChSyw==,Itaú Unibanco,WeQy4HmAv84vUTFQde2qGs0p3QyleJL2Tl5EHoxflaHsTnv/,Q3DanWMmDi27OHjVEZ3nEr5REOUuleYnhNxnMaF4fAbvsw==,a2iMVTVFBnxnyX5xvoiiqBBIGzXggZDYpMzAu3hZEd5/aA==,219,1itgMOsLqmgndZY6RugP+5Gs4ZRpf27sdCnGeP3rmoIeJN3k4MX+AIRvnAFra2yVMtRlo0f0dL7qiMMTf/2yAC9I6Qk=,0
295,t1Ug2L7C/po9PUdoPXP3BNUZwgKAq4jXkmr4yKcNkaKDcFycfD9ODlyAWlAli4c8waK7,Itaú Unibanco,VBl1Ow0r4JB8WuBD1nJ76oO90owMV9LM2xpHBG0zEsjmXnXu,38kyKNbAc0DAY80dVHph86/KZ7CbS0+lMk42NNC1IbXswA==,AQMZQJobsYe5y9+ZBk2WtZYhenp8cfaDwflKX4r8wsoNyg==,0484,1gj7iu3MmSNY9UT6c8m1xbSd6bpgG/8HWH8TuGXOEWTr19b9EMFgnvfmnLRQH2/qgPLObUI1BM2vMEcknY1jERBy1HE=,1
296,mZcJtOHa6vzUFV/xmkal+kEUPluWlGQRI7yFiUVEuuo0jgV9AheYq3mXBQyvz66l,Itaú Unibanco,OZBN7E3nVNWlxzF3RLA/+tz1tQATJJKtB4nu5aMgzvZunFLQ,Vqo7gad6XGm6x9lRWwaxIth3l92H24iwmroEkewcibMtCw==,fLhEVVrjUh6xib1uTqT1ANeYOgMhe5GzCFRt3t8Vic8XrQ==,866,MG76IJrJxkoxxb2e1X4h0zOnKUhHtUrfAucTswSCNKzJFJops26CW/lBVUoY54b8adWewba3GiBDTaNtRN4D0/JwEvw=,0
297,qThnaoxcTrZ6VSOQG53bie/qJI+rrcju0bCx72J6m6WY/6rIVL5QNVvZKyOH,Itaú Unibanco,XKJu22rIfsEePAf8AdSo2MfeWN1a7Mc5nuBrBdoSqLWNLT7c,kLSyp/4DQDnPp9GnQV9duzDP6WcqOb9iNSOTc7WH6cN0aA==,+QPc2LdB81wz7yWpCdfgFu7YtNGDQGQZvPDKP4xMPavLHQ==,270,19HG29giwgyptxRhJ/TzLlGwxTPKGZ0Y1wYj0Oxp/RLZQYgLGS+5qN3x/1i54jyilw3zS+JCZ/VXrM35TP7PH+QZL/Y=,1
298,PckGoatSmIO1uaYl5IUV1x8oymXrSlSfhL6PiJOP/5EHqF1u9epjrXRdsZ7dPBLzIR/EOx9ndA==,Itaú Unibanco,xysVRXAlykIw9RmUdj2xdbpAbk73ZqJrgAqTwRIWvCoEBXJB,WmY3+S8hVnKIMqeDzY3owZ5PQZEvxWfGXROpJFDWde6hUQ==,DXV9ENASfD+JDT1uHW3tI5BR5TgZyEUZhbrJi2r8V+ghvQ==,445,gMRuAyouVSSysOcHX8fJEsjANY69758EOt3sT+b8VfLLypFXR9OIs8sePrqYsvsWsK20Ls3WfwJqWO0fR7MUiD/8FLw=,0
299,oTRz2LiWxQW78o5sWW2QBVxXIo7953w1GBNq3a1ZT/AaoevLHMQq4pxl90GdXQ==,Itaú Unibanco,Jaz3AgZzLIBWuVAfdE0jAoNSjx4NmhcDVRTPg0vrdBnZr+XB,3Oo+L/9MZN4xjtQynFNCTKRpWcKoA0g+cfogmGlhjo6plw==,MJFKg+1DjwATG40b0hq31SNhnNeVHSLjFoX0eXAQLiBrDg==,614,VVARi8zRjp5bKj4JjeQBcYkeOVu8bSr942znHocJvpG3DurkhBiXdiecSEDY6byg8zEshgWKdWsaBxEOceXNg+IN8g8=,1
300,ztoHtWxp6k9IIScV1Yl6Qg49Ht2zsXPcHs4IdxupGJue37CFxI8So5qatm67qXA=,Itaú Unibanco,VCsE4I+oMzVRsKPd/gWNNhN4OHmzMqrlSVRv04tYFS9lZNVg,YVT4qEQ9yoTab7CtOAKmMX2lNwU7s8fUDFnkAbdieTwC5A==,/d8j/CoiqXMDWvcB545bFVbjKhpcCpV68yJgyWrnIsNPKg==,726,j3j06ITKmNMTZ5XMeVJF0dvKaxTUDj/D8aWYAwBBsY4TL1HfsOcAFQeGhGfgNwpjVtCedgrh0G4uoH+y/EFfXi8bjfY=,1
301,UxwILyq7Ocih2Ox2RyCAgypMZ2MkLVCWa+K2NOE8s11Thy3ZEJJ1ZZwVtA==,Itaú Unibanco,92dYiOXXhb6Bi/f5QtJOoJlXSJblZVLjrQt3kO2gjXp6GTgh,c8RpqQadg6QwFM497zsT+i9gPsHqiiOksUlQYY7RgnUuUQ==,xKH9I449OJhr8QKMHVvX5dSqJwjTLJUVZPlqIBC6q1TU2w==,041,VwhrNXLSYbn08DTMQP0+NPn9ZUxYQfIUGR2oT2FFe7rvRyiQL6RuV5PUKGkU2OfN/gmhAejTWWXCMsG3ZHVWo4Py86w=,0
302,v8BXU23N1pT8W8XdFQIAJeJ/tny+MMDS1ZbAgau0EbOMRTTPx48u9MK2XxmqDPlcXrB8Pzlpxg==,Itaú Unibanco,jKMuwnPWse4ZNLoBcGZymDeYwlAeqGtzDFJ+TezULNaoFIZO,bkU5AWo+kSy/blMPwNqMJSuLW2+/Ogolehj8MHkJ5KMnTA==,5uiUCMVHfR5RyJqC4DqQbmrATjZ+BnTeeZcjTg2cO/xmuQ==,302,bJd+lJxGQXBvtNmEtH12AYjODS6gFZPk961D+zBVdprHyzuf3MxzN4vMRpjFFRk4K4j0v15MVp007qJHazrZdfKk/4w=,1
303,rMi+UgQyFx/FT//w8GE1hpiix9ekhStxPR1Q3Wp+3L4ZKBvRvoLRYba5+BX6z43j,Itaú Unibanco,+FUSSpndY0q0bzi4BDDpqJk7Flmp4X0XF7zgvIavppBSMPar,Y11xrB1E6yIw3YdmomABn342nvi0toGRhnLoDfqvufImMw==,16A5kbMYjFUCr88m2JDS4myn4rvnO5iSROvXJj4hc/Shlg==,791,9DiCkOLilVtgZHKcelqwdwnwzD3ZNXWX1fNr/geZyyRdERVjTwieQu8Es2yzAlB9Ni4eKKrVbwHWZjZCYXI5C4u7PUs=,1
304,+TH1qUu6PbPrWQNKS9WI39q7BaUCs0ng7g+69ykBR1uyHn8tgJl/y9g+B6wrrI6E,Itaú Unibanco,K86jXf255echjxZE9aQFiMzg1IOtG5i3p/Sy8QkYtY6cF/WJ,zqn+hVsd6KapEbRjrKh9EKyHEswpk9XgN6SdzTl72bcVhQ==,Hi6CdWM4b1zftzQLphc5CEyvb5G/BX4537mf3ErRTkX/ZQ==,7714,qZ3EC8rmszRL3NdAlIkpIbNC3p2mpEQd8zHdX9GgkxrJocpqUa9qQoUPlOHnTYS5+mEnSf6UR8fkIYcwC1QpV/RGCUg=,0
305,/2lQYPLuSbWl/kHbZRBnWn+Qdjf4LGHPjh6XLGOiz5PMutVOZpRANvXpLGGDuA==,Itaú Unibanco,xaFWyE4SPJIZnticYtFIPOOYo2STlMiPf/r6o8d8Ra/8NYeP,Cwcj5NZx0fQfWNlCO3mHApQOqaQ431aRZpggjZ4x6UkZow==,p5oW/wU83vSfp9TK7LKO4JUgRX2j+utzns2Hn0vRFe1gkw==,455,OUyYUPFfUYMonRfcldJbsKSg13+hvjB1QslU4SL+aCA4uL8m9bKHwJUQBiBqXHB3ovBbSJPNivnCTffX6i/yAiF9/MY=,1
306,BJw+OuxB6mJBsNj3v0p8qWgKBf1zcXyhfsP5u2LIPY+WZ+bKjCYuFc/1okQc,Itaú Unibanco,nkS92MkjzLqbFZ8JZcuZxyBhrB0Lxl79bPW/O2e3vZi5BtBR,3qtBkhYXnscPjnzsuX+QI+hnjcfdGFUU1X3juqxWMVvN8g==,u3zHChkriAWjn8K6qRUXTycIDE6J5QN7kmZHVtFrDVo3yQ==,841,3URIOB1DlULf5a5EnZy8ja1pQhFU7at6odB9HtNUGb+/u10RndfGucODCiBGZ44v73NN7mjZZZ/+FqPQii1BkyicVOI=,1
307,/QR70s9jUCqh6vp7mqaGY5NphoHJJOcjD/ega+lSRr8WQray2zLP7y17grx7,Itaú Unibanco,dxU29F5RSwM3bX26GrYtvHYFbrVPogAcz+9bNRfS6FKyicRk,8HeXue4rO6uQ/e1vsYgjx665H4rFY8OplZFnHWGKsIM0mw==,zqQqdE8355cRf8QPGS8nldb2aXyT3651tYiWsM0qJNOSZQ==,286,QdofJr9AevFJWpnLOAdHvYne0dNAyaoEoyjBv6BzcV7HtHAgHyccfZC85t5t7DzMe9WGRxqxV4PRK3Wy25bdP90NP70=,0
