id,nome_completo,email,senha_hash,tipo,telefone_formatado,ultimo_login,status_usuario
1017,João Felipe da Cruz,yan59@example.org,rEMMfY24cSckmWxwpLlGP4G0SdmD9J+wrTS3w5wl7CWWrRN5ZKkbO/bv,Freelancer,81 7928 3579,2025-02-11 10:49:08,ativo
1018,Sra. Julia Sá,eloahteixeira@example.com,8LoqDEGbhlJCSZAtFFmEVQp+9PI1aPruSPcXKGKm/n2IlvpfPBRezFZ5,Freelancer,0500 969 1586,2025-02-21 21:18:33,Banido
1019,Zoe da Cruz,souzanicole@example.net,gwTx5DpMxhNETwnx/RfKGxUryd41T5MepcKzEqalLQ9ZkYqz7f1g+qnw,Cliente,(051) 9384 5183,2025-03-05 20:33:42,Excluído
1020,Mathias Abreu,tguerra@example.org,Pq18tNr2/hgfBamvJpYqaviiTtV1eqMrYVc3BmPKazv95iJ6dN7EMZYT,Freelancer,31 3445 9048,2025-02-24 03:53:01,ativo
1021,Sra. Ayla Teixeira,qaragao@example.com,jYCefc24X87wXcSCfb3VhN2hMmVCnv/l3XxmiB09Fx2I0VFIId+oOw8L,Cliente,+55 81 0009-9969,2025-04-13 05:51:57,ativo
1022,Natália Moraes,montenegroana-clara@example.com,rorTAdymA/jqmoWxLP7CE+kaQ7s0RzlVeNNpAaKPcWHRsu03zki1ShJ4,Freelancer,(061) 3914-1324,2025-01-07 06:26:03,Banido
1023,Leandro Andrade,pastordante@example.net,YynUDKY92GFNFvYu5UmUUP7rcXvQYORMx+RTC2a8d4YELtuugXggbOwe,Administrador,81 4451 4124,2025-02-04 22:40:21,ativo
1024,Vitor Castro,rebecacirino@example.com,wWhY4yWy4T058HklDTbmV5qu6d9tz88rEWmqqp/rHXHWW6RRKuOGbwPb,Cliente,+55 (061) 2833 6787,2025-03-23 15:01:26,ativo
1025,Luiz Fernando Casa Grande,enzo-gabrielvieira@example.net,sxOvq3+ZErKsPwTIFD6KBEY1iC5Y2ZDPIgdgCyKy7n3dtHh+Fy4uI/+U,Cliente,84 5408-6378,2025-01-25 06:39:33,Banido
1026,Isaac Mendes,cassianoamanda@example.com,8RM+2hlGhgV9xnVkzQ41iJ5nIS5RjI7Ju24aXJ74Ngoa4JwHx2mjn7RO,Cliente,(041) 2645 4464,2025-03-15 04:30:42,ativo
1027,Otávio da Cunha,dvasconcelos@example.net,rsk+t13BqBm6py4PKUBQn0wPBWe6akJDZ+V8T6zUc/oI8DR03EIQHaSl,Freelancer,(011) 8690 7429,2025-03-10 22:57:51,ativo
1028,Sra. Hellena Ramos,danilo57@example.com,j1s8etYyXMm7DrsRuDje7J42MsAC2C1b+rnHHDjNL38/2aDc4ZrBQRJ8,Cliente,+55 61 0008 7361,2025-01-11 20:56:40,ativo
1029,Mariana da Costa,aparecidaenzo@example.net,TmGUcE7G9H0aLhS+W7WAwEUH1pEBfAmSH+eL8725I/iLtnz+FIea8RX6,Cliente,0900 404 5414,2025-01-23 10:57:35,ativo
1030,João Lucas Nogueira,joao-gabrielcamargo@example.com,rxFaHxIkuIBCjxIVLUiQNBacgfddYaQugweRtZhGD20gpIbARE30LKCI,Freelancer,+55 41 6639-1626,2025-02-03 12:27:27,ativo
1031,Aylla Cunha,maria-ceciliacunha@example.org,WlVLII5EKC01pNURGnyEohalFkB9lpZ1gMcbrEBDUgsDL981PB2cDn2Q,Freelancer,+55 21 0687-0639,2025-03-31 21:27:47,Banido
1032,Apollo Fogaça,mariah28@example.com,R6DnMPfMgy9D/k8ZcUc4/FVYZPkR9OBgTD0CbjMVHOTk+kS20byFsY8T,Suporte,(021) 0212 3408,,ativo
1033,Maria Laura Albuquerque,casa-grandeeloah@example.com,qQePc9PjBvGPb0Dq8OpM3k/b9fRsThmrPDPagh70egMp/DzZRZ8lnXAU,Cliente,+55 11 7301-2815,2025-04-25 21:35:54,ativo
1034,Olivia Sá,goncalvesjoao@example.net,lj2DECJfSi+NnDIrgWvVeby+cfuEjDSK4Ebtb9/JUPhLAi/WrFHJLg6r,Cliente,0800-469-1826,2025-03-24 00:15:33,ativo
1035,Bento Teixeira,tfonseca@example.com,cJdxrdHYglomxi62jUbMx8mBs3Rdeyo9DCtzXVpUJsPkLzsWMaZbpXNc,Freelancer,+55 61 2543 2721,2025-01-21 23:31:01,ativo
1036,Igor Azevedo,asafe60@example.com,Dj84WXLpkfpw/hCnT1zh1FsOXyRCZ3haoPGgHjyt5+gkfSm1t0WNA/gz,Cliente,+55 84 0494 0900,2025-01-12 08:43:32,ativo
1037,Sabrina Caldeira,da-rochaanthony@example.net,jjQhtcew1H9me7KIXTIv5sF1+JgO8goFeZ4Yr2r2UZ1qKN4SY7juCAr2,Administrador,(021) 6883 4820,2025-01-12 07:12:37,Excluído
1038,Renan da Cunha,nataliabarros@example.org,xpuqoTxPkCpc9ZTjzC7if6Ti5tur+lyn6CjHgKen86vc+mmb8us3IM/k,Suporte,+55 (041) 9656 8196,,ativo
1039,Davi Aragão,noliveira@example.com,l3CapQGrp5EeBSxJ3bABZnZWtd20ukFCQkiIAmF5ucemxgoNXDr9QsvN,Cliente,11 2917-2559,,ativo
1040,Elisa Vargas,jesusalexandre@example.com,5fwjyPaNPOwNRu6SGf40WlPVzo1iMarpmLRwre3XXZkjqBpURrcXL5v4,Cliente,+55 21 3946 5669,2025-04-20 22:24:12,ativo
1041,Sarah Leão,mendoncamariah@example.org,jWkL95BBlBbf91OI7TfPnEx0tz+l5kfwO5+38TZzB4hm1mcjiM1BHe89,Freelancer,+55 (031) 2038-9738,2025-02-05 12:57:58,Banido
1042,Anna Liz da Luz,machadomanuella@example.net,02OV4vOtCiLG4dMZkHA/9W5CNH/3Zax4cklAuqsL1lmaIfCl7TopTMHU,Cliente,21 4128-3145,,Banido
1043,Fernando da Cunha,ndias@example.org,1xqT9c5kOLbAX053fHgTtsc4rYFJssnYyc/cfQn1VmwmfQJ0CJPPyHPU,Freelancer,(041) 5199-4464,2025-04-15 22:35:26,Banido
1044,Bárbara Castro,kamillynovaes@example.org,E7MjPZSBp56znkySIQSV+MTAuAJO3CXPvvOfCJbRus3egfLyWMax6XYK,Cliente,71 4204 5323,2025-01-14 22:05:14,Banido
1045,Gabriela Jesus,novaisheitor@example.com,Zl5k93WT+ml0wk7ERNQQZCY/xNff7norhUYQ4Wh8noeT9JR0BV8WtIpC,Suporte,+55 81 0592 1697,2025-04-18 16:57:45,ativo
1046,Alexia Correia,fernando12@example.com,ejDa6k2s9oQv4rZSe1JWH61aMhHFt2oQ1P9iH0XjnirRpdHTk35iTBif,Cliente,+55 21 5935-1561,2025-04-23 08:35:26,Excluído
1047,Ana da Luz,luanamoura@example.org,xXtudMdRqtxae9wgBpGoJ7gI2N4Jk8PIOhBwfhnDHvCvoJLe+FNjbNwI,Cliente,(041) 9368-8119,2025-03-09 16:30:18,ativo
1048,Antony Montenegro,liammoraes@example.net,Xc+rJoQXlp+wXD/5kSB3vlPqy2xWHTblZtvbiRoUI7EefaY+CLpYdhOb,Cliente,(021) 8807 1035,2025-02-11 06:24:04,ativo
1049,Rodrigo Sousa,omontenegro@example.org,6sOuN/DbhqFvCl/JCtIcg8LhDb7jQvC+7xDa1KRI1wtecEcns/6eeo+b,Freelancer,+55 71 0450 1769,2025-01-02 21:55:37,Excluído
1050,Luiz Felipe Peixoto,joao-pedro04@example.net,ZvkgVNE4Myc54bsxX9fpciUuphYP+hLg4hU5RAOpA2/FsZN3iur/ZOQI,Freelancer,+55 (031) 3868 3186,,ativo
1051,Sr. Luiz Otávio da Cunha,rodrigocardoso@example.net,7zk965H4VWtF5g+w73kAEo2504UR5AuLpmRyqGVMPLBgIKszaoSvH+VI,Cliente,51 4399 1991,2025-02-07 14:40:38,Excluído
1052,Matteo Barbosa,zda-rocha@example.org,DQfxFyJUG6eKhsBNViTIynmKZkE7IhbTabmTR66NiaTDdBtpH8mu5b1A,Freelancer,+55 71 6053 4872,2025-04-15 17:07:03,ativo
1053,Caleb Cavalcante,maya28@example.net,Ly/wMukLmDgzByTC33Yk1MssuvZGklrQUVaggGkIcG7gK0zViBcsGkH5,Cliente,+55 71 4050 1628,2025-01-03 12:42:40,ativo
1054,Anthony Gabriel da Cunha,antonella65@example.com,j9ZWRx01yLOTN6yrHQPsZiEUZ0KegLmOyB+4gllqFLPQCqhVnZI38n7J,Cliente,+55 (061) 5107-0048,,ativo
1055,Sophia Dias,rda-rosa@example.org,4Xf1zMwejXrPQ9km/FDEXjfcUv2e4Wbqa2ouDKgTatXcrcOVLsHIRJf7,Cliente,+55 (041) 2385-9927,2025-02-06 04:48:59,ativo
1056,Luiz Fernando Freitas,zmartins@example.org,VQYKaS+mj+6eTSbLqhOmQ+DGw205OD2qLbmoueTOOxP5+pWAmGXS++7H,Administrador,(011) 1985 8490,2025-02-11 08:24:17,ativo
1057,Léo Sampaio,souzathomas@example.com,oX1MiiO9AOXw4Y8kYctOVdZp0Wq/PwUZQ1uBr/ZbAif3f5pCC1Xz41lq,Freelancer,81 5439-0755,2025-02-23 13:27:44,Banido
1058,Maysa Lima,yporto@example.net,gh0qYTMlt8N0UgIDw+SDQXF+BzwbsoL0M1L9DWp9ebGKWJzw4UjZMC+T,Cliente,(021) 0909 5914,,Excluído
1059,Pedro Cirino,cirinoenzo@example.com,xbzy4lvpFSdevhaMEhj+hlij+leWZVCyp2weQmS0G1NEGfwtLBSNdnSP,Cliente,(011) 1235 0025,2025-04-20 12:53:19,Banido
1060,Francisco Camargo,cavalcantenicolas@example.net,EZZg0ySEoCMbVvrXy6msn7Ozuqs+N2O62UjDj5h90SWjTOfky3SNHaUP,Freelancer,(081) 6480-0987,,ativo
1061,Ravi Lucca Guerra,varagao@example.com,L3LFFzrCXme+HfAR5dn1lofJT9Mgg5McViH3p67kf5u3Ngnrl9AcmQIM,Cliente,61 3640 5068,2025-03-01 02:05:22,ativo
1062,Luiz Gustavo Cassiano,joao-pedro91@example.com,wf3hvkiZdxJEkMpKJWqZpnbKpHs38X8gsf6WeAKAR7Q23jxQt68Iz3P7,Freelancer,(051) 4782 3342,2025-02-16 19:08:26,ativo
1063,Caroline Correia,catarinacavalcante@example.com,E7BslA2PZo7pd+9N09DDLin/RuZtPqtTaMsqNWx0qVV+SfqgIFrfgp4F,Cliente,(084) 1541-5677,2025-01-31 02:42:58,ativo
1064,Maria Eduarda Pimenta,laradias@example.com,NZKWPospEhz+1WsYjMrte084b+hCO1LMwCmkJqXZOKNaGOaOi7HrVZ5V,Freelancer,(021) 6536 9302,2025-02-25 13:07:04,ativo
1065,Julia Araújo,marqueskevin@example.com,vUYP+7+LsGlLYiYuPp9xrOZav0CrHzQWhXaO922fqhbAT8m953b8D9t+,Freelancer,+55 31 0835 5579,2025-01-27 21:51:54,ativo
1066,Larissa Montenegro,mendeskaique@example.net,D2K7ZwT87phg/p1H1YBog6uNqlP3BgP4eunjXKvLBuYwbEDF8NR80ozc,Freelancer,+55 (081) 6409 0971,2025-02-20 00:13:24,ativo
1067,Liam Martins,silveiraotavio@example.com,RVBODS50AlIVPC6sjt6cyUa97rgEUriUmB2dldPoQqlwlupdx3tQiO2T,Cliente,(011) 6211-5477,,ativo
1068,Levi Montenegro,vporto@example.com,YHDRUxo/iVSVErLwbjWyhqF+80YCN8RZariEQUPEDNHjKie8g6NHELsq,Cliente,+55 84 5119 9153,2025-02-28 15:33:49,ativo
1069,Maysa Brito,ada-paz@example.net,AzgEYYJrkSerFa/e/TBgvOHcYTgxLwffrQaupdXILy9otFJXfrjQkR7l,Administrador,31 9614 3982,2025-04-28 19:52:40,ativo
1070,Gabrielly Pires,da-cunhafrancisco@example.net,hBGxH+a5N8DsN2LUMN5EH448i7KpogzdOwjyRbA7DS1hG7JR2sS10XL2,Administrador,31 2003 2983,2025-02-20 11:09:09,Excluído
1071,Mateus Fernandes,gmendes@example.com,2fRa2U608oZh+HhNC02T81Gc+qzk6CTq4c+TeDCS9Hy+8FC0drj7W9Cm,Cliente,+55 71 0832-9272,2025-03-03 16:15:20,ativo
1072,Mirella Pacheco,auroradias@example.net,ihpxNQTvhkmZAfRPyampXQjAkSIdNHOnKMAw+hPSBdO1RHA37vJnLbvZ,Cliente,81 6296-7132,,ativo
1073,Dra. Brenda Aparecida,souzadiego@example.net,I5h8l4zSgO8HL9HDLdAooNoEZVyMKBs3mxpwsIQhvB/mqHwgs3hP0Tx+,Cliente,21 5758 7588,2025-03-24 09:16:34,ativo
1074,Isabela Aparecida,yasmin13@example.org,MvMvJ8Rg3rh/sah2ZY+1t6HvsaIB73BNmWhjXJLZdBfU6kcpJZhRheW+,Freelancer,(041) 6260-1988,2025-03-09 12:43:22,ativo
1075,Maria Clara Peixoto,cmoura@example.com,Wr6Z8TjBqAquBPpyAkfWxaEGTKR5fiGGffS0RXJbJpKfBu4zhxVRLRhp,Freelancer,+55 (041) 9579-0368,2025-02-23 08:51:06,ativo
1076,João Gabriel Silveira,wnascimento@example.net,+OWu5TrYHCVyMnghnxEWWcSHIHSLZoDROtFjceJ3RpXrI3RObd+2Sr07,Freelancer,51 8346 5239,,Excluído
1077,Bryan da Rocha,isales@example.net,8xDmxJ2dQHkFIsMBkTnGWAbh/15N0btPjKTL2VXZcLIXxCXgrfmqHbQ0,Freelancer,11 9587-6489,2025-01-03 20:21:51,ativo
1078,Ana Júlia Aparecida,vinicius63@example.com,ub1dnDFKHGrLtxUL3OqWcKEBmKdpxUpGseXvZVLyLd0cuo329XVauBKF,Cliente,(061) 0380 8247,2025-03-09 02:34:54,ativo
1079,Cecilia Cassiano,fariascaue@example.org,rEAYee0kdIU2r8mBNKzXsFofdRlyflIthzg8UKxtcW70F6OVNAIlKejU,Administrador,41 2019-2730,,ativo
1080,Rafaela Cardoso,rochatheodoro@example.net,EcurpPaJZYbHcqXyildcdJv+C+ipMzWSxfF8uH+w2kJZrJbI+quScncq,Cliente,+55 (031) 2715-0241,2025-04-12 21:22:52,Banido
1081,Theodoro Silva,francisconascimento@example.com,IvFh+tVvWpopTi9Q6DaYfR1ePPuRL50OsiyQmQKHfeAVfWpJ+IRX1u4L,Administrador,61 2552-0775,2025-02-17 17:57:27,ativo
1082,Srta. Helena Cavalcanti,luan57@example.net,XuS9E4UBNMZNxZcuTNcILdK6nwvi5T+3mJbGqM3bxku9Uyd/duSodJ4v,Freelancer,0500-992-2592,2025-03-14 21:13:29,Banido
1083,Alícia Nogueira,diogo39@example.org,odr0uUXEKCP5hNo8aq7ZPFibasUBiaDy9YtScOiSFNdZmic2kLJGn77J,Cliente,21 1847 0251,2025-04-14 05:48:25,ativo
1084,Antony Porto,cardosopaulo@example.net,CmpdxelMHW7El2n3VLttGMHaPUAsMdtcDc/zmmGW7g5WdQj9q5X8csHH,Cliente,51 8257 2596,2025-04-02 16:39:48,ativo
1085,Luísa Ramos,bryan99@example.org,ABiTDFD4Wy/iog2fPo2Aaq634frcHwqLLLbTrgvZA45ZZF+y8he3o5nE,Suporte,+55 (031) 6644 7879,2025-04-11 16:57:17,ativo
1086,Bárbara Pimenta,fonsecacaio@example.com,fi8H1jafXUzScaXKmtld3CrfoopUev1k7wFXdpQ8ua9eb8lh8VLXoO+F,Suporte,(061) 0148-3899,2025-04-23 17:04:08,ativo
1087,Gabriel Novaes,mmontenegro@example.com,SdPh5vBDslQrC3RqLIHeDI4iZnm/k8aBoSkaivBigZXSME90HppYFzZf,Cliente,81 7905 3988,,ativo
1088,Pedro Henrique Martins,pedro-henrique31@example.org,Uqkg6ttfRVtKTcwLWCEHf0Ucglz2EUW9JyhePQLVyWx7uC40TrzybKd2,Cliente,(041) 2620 8160,2025-02-17 09:34:56,ativo
1089,Leonardo Rodrigues,leandrosouza@example.org,9NzaXl+FrnmbHYU5/2gApvNfQ0Dkx6MSIeg3YyY8Jhz66OwojKCPMfcw,Cliente,+55 (011) 8713-9855,2025-01-09 02:54:40,Banido
1090,Ana Carolina Cavalcante,ottomendes@example.org,2oZ80O8C11MH8C0OndXJ+tV7mv0E8X9rq1Idohl5VC3V7lS6MCcg/swN,Cliente,+55 (011) 9848-6315,2025-02-25 04:02:56,Excluído
1091,Bernardo Fogaça,eloa57@example.net,QP5j3KwwJaOD9ePDyYl5HWuMYJP3eNsIg7r00OVB1mfSkBuixcmnUrKT,Suporte,(071) 7265 0282,2025-04-01 07:06:12,ativo
1092,Ísis Andrade,pmendonca@example.net,VdUmlWWD+PyHAf/U1NcIppPyWR1pGXEzteIulAUC2x8lO7Kwvan+FA0k,Cliente,31 7177 4237,2025-03-16 08:06:39,ativo
1093,Sophie Campos,nathan91@example.net,ly0HyuS+kSfQxv2rzeqHUl+Mp3Vn3fPlWyh672MtBS203EqvvRXM67me,Cliente,+55 (041) 2269-8882,2025-03-12 03:50:40,ativo
1094,Maysa Gonçalves,ncardoso@example.com,offemu1P+RV0VwTJIh7a1UgcdWSOGREZyI7bZpTtH72JzxsyO/Zajgpo,Freelancer,+55 (061) 0336 9570,2025-04-29 17:03:33,ativo
1095,Valentina Leão,caleb60@example.net,nJa3EndKZrZ2uXsfHWBSmXaCD6P46a1KVgxIubKu7QSjtoEj5o7WqrAp,Cliente,0500 711 1538,2025-01-06 02:42:22,Excluído
1096,Davi Lucca Cavalcanti,abreubruno@example.com,8z1cUzgOQQgIrvgj7iCzR54cu0HfP8SavcHDUicYTN3Cho6YLw54tmSd,Cliente,+55 (081) 0386 8504,2025-03-13 17:49:23,ativo
1097,Gabriel da Mata,gomesvicente@example.org,nyAGwrawS+qk7Iu7pyHOf/0GMa/qVquUxOmJ7KlTpAJqX/mChILkkn6f,Cliente,+55 84 7654-4003,2025-01-04 04:23:24,Banido
1098,Heloísa da Mota,fsantos@example.net,mGq9NpICEI02Ud37z25keKN12gDWOY54PHSCn6czk3pKYuqZUlUV/WbN,Freelancer,0300-626-6832,2025-02-05 17:29:23,ativo
1099,Antonella Nogueira,jesusluiz-gustavo@example.org,0kk2wY72ntRWMVT8zUicYSuNOpjmrBpV2ZV0Ckv8DTOmzIgneM+W5Koz,Suporte,0300-414-5187,2025-04-05 22:56:12,ativo
1100,João Ribeiro,ayla91@example.org,yz8RwuH1LXDK1sP/04cEmlp9GOfjf9KOsqL7gqFv7f3NuZqqKfcMpd6Y,Freelancer,+55 (051) 2643 5457,,ativo
1101,Srta. Milena da Cruz,maria-luisa77@example.com,hAdwbTPve/bNHplfpoy1KXRRnLX7SOeD1a8r3DJyzGlBHMvgEQqzJ6/s,Suporte,+55 (041) 1646 4883,2025-02-14 21:04:21,ativo
1102,Juan Oliveira,machadoyan@example.org,+LT6x1N7kyUXgDvc9DyNimFOuR/sbaE4wKFYeGcOCJd8vTpXxuCOUozq,Freelancer,11 4475 1533,2025-03-16 23:50:08,ativo
1103,Sr. Benicio Pereira,sabrinapeixoto@example.org,zByvJUtYYsi8o7x2t/phq3SNh9Kq8qfaNvRljh1lT1FQJEY9mV6i/VXX,Freelancer,0300-136-5626,,Banido
1104,Luiz Fernando Barros,moreiranina@example.com,9ggLikko8rwcdnsfXfNGqcYmbOC9oILUaiDppPLhTKVN3ovUhLPpkY62,Cliente,+55 11 9974-2057,2025-01-05 02:48:15,ativo
1105,Luiza Gomes,xsouza@example.net,hxvGr2QRxZJkmnkDktNqvwMroED92hqdGiooEVsc9Vz2G7d9Aj8NtmqB,Cliente,(071) 8657 0026,2025-04-11 05:56:45,ativo
1106,Dr. João Guilherme Moreira,catarinamonteiro@example.org,ymE1LTtop/6+e9hCqel041lZVooqPGNa0eJFyU/zI9b0Z6PzR5hohgVz,Cliente,0300-821-1224,2025-04-12 05:18:29,Banido
1107,Isabelly Martins,cavalcantemaria-flor@example.org,CEBmLNKCCG4NeYeqhiiA89KFgnPdrVwIV2rkiNolEg0whDY9lpGZkRB0,Cliente,41 4330 0329,2025-02-01 17:17:13,Excluído
1108,Manuela Caldeira,camararodrigo@example.org,95xX6TzncLu2ndiFcQKLoFhTmikTUVl9ijk+avBzuDhJqSckNyWyg2dZ,Cliente,+55 71 1949-5382,,ativo
1109,Nathan Camargo,sampaiomirella@example.com,tKhbjpnddxd0zv2TvztRjOgYj8pGBDKhmwyIuZdY1R6P/7I8bE0tdVEX,Cliente,+55 41 6359-2025,,ativo
1110,Pedro Henrique Fonseca,manuellapacheco@example.net,be3YHu35YPp6dso7b5S2sg69LWgf+hRE5iOoo+fqZWN40MqZznGZXMkJ,Cliente,21 9445-9201,2025-02-24 15:34:08,ativo
1111,Carolina da Rocha,ana-vitoriabrito@example.com,vha55MnYdVK7Da35+Bs7ulD0FwcgV/eMldf0/ghMagkArJ82Z8RRthXp,Cliente,84 1081-3233,2025-02-27 18:17:17,ativo
1112,Ayla Pinto,rezendediogo@example.com,0Mbmr992nErglotXM/gNL/CMUdnFHlyf7sXM+dlGplnEHpl4k2sK08BB,Suporte,+55 (041) 3847-7694,2025-04-30 20:29:12,ativo
1113,Luiza Melo,rguerra@example.net,bFU5uiZhtX1Zbx6iNDFoW2s9rFsQ9Z9FWvJOyXxBNoGJbamVdt1m7YNO,Cliente,+55 (021) 1208 9749,,Banido
1114,Dra. Maria Cecília Silva,rafaeladas-neves@example.org,RTyimRInSHKJDqnmM2mRKuXxDg2wR2R/UoI4z/S5Lhxcqgw9Dnt3fJu7,Freelancer,(071) 1051 8415,,ativo
1115,Sra. Mariana Peixoto,renan54@example.org,IotQz4BSw3LJjZVkrmTJM5SUQl8Fyg3Pu9HlzdjZCIvQmJo4lzR4xLNp,Freelancer,+55 (051) 1527-5555,,ativo
1116,Srta. Laís Souza,isabellyvargas@example.org,nm6f5gp/aOGHSw66sTdblSArUWennJZYgd4wY1zQrud4As+T6AqX9kWD,Cliente,(021) 8469 6883,2025-04-05 21:56:35,Banido
1117,Milena Machado,luiz-miguelalmeida@example.com,zSd0rEopb2Q+srzCWYDNj0FihGcQQSzYcQEwkNk/gSPkoy9eUyLnTR63,Cliente,+55 71 7808 2277,2025-01-25 13:09:56,Banido
1118,Fernando Vargas,mirellabarbosa@example.org,RaOqwcnQD1wnTXABMB8NGBpEWGG36moBFDGu8gsqfrj37XhbX/DcJUB3,Freelancer,+55 21 0373-0257,2025-03-10 19:27:34,ativo
1119,Otávio Aragão,sampaiopedro-henrique@example.org,2afYw68FraZqC0e0rndFmlQU+3J6XPwqY8v49HRaJIZX598nYyNfOXiT,Administrador,+55 21 5676 3408,2025-01-12 23:01:29,ativo
1120,Benjamim Freitas,yagocorreia@example.org,gFh/632qD1wP2cVfBphBFjAoWugPBLSu3Ur2eau6n/OIUj5eb/HkKxu8,Freelancer,71 5479 7996,,ativo
1121,Natália Dias,raviborges@example.net,I9a60ks+8d4zlYeappqJgPOxFIbHnyWsrOUGEkRp5hnMbYKohwb+Etz4,Freelancer,61 4887 7391,2025-01-12 02:43:08,ativo
1122,Sr. Pedro Henrique Cassiano,caldeiraester@example.org,1fPO1wfxYKc6c+i5P9YZXtwF0gkh7pkkGD5+SqfeooFo23QY1fKi3g38,Cliente,(071) 8177-5806,2025-04-16 20:48:34,ativo
1123,Lorena Barros,qlopes@example.net,oFA1q7ihCS8FlCCMhshergoetuxI9kTiykXfpir0LC+1pPHXgdPSt4yW,Freelancer,+55 84 3155-8257,2025-02-17 02:39:17,Banido
1124,Sr. Thiago Sampaio,nogueirarafael@example.com,hBObDbElE0WDULYv+hTItvPi8IfQ1OeQ2aDMthlO+lz73bOmw4nETY7m,Freelancer,21 4642 3850,,ativo
1125,Hadassa Monteiro,duartedavi-luiz@example.com,qyzX7dmr9FCUdhgq0jtuh5GG4DBn+hlZIs2iYp92ik6ipHGd8jjiZ4rT,Cliente,0900-276-6093,2025-01-19 06:21:19,Banido
1126,Sra. Ana Carolina Vasconcelos,azevedomelina@example.net,MmS+O1+bvUAKXXtAmEiliz9yhbnHEK8oZM29rb3tlHUQQRkzgKbjUZ/N,Cliente,51 9417 8242,2025-01-09 08:56:08,Excluído
1127,Julia Pimenta,rpacheco@example.com,C3G1YFj9dtnvWbTels93vmFuz+barhr4g2YxU8dVIAiAIyRMayVi273o,Freelancer,+55 (051) 0818-9355,2025-04-16 23:57:42,Banido
1128,Davi Lucas Silveira,luanamontenegro@example.com,/AcPzSYLsmuM92WlEF7CV3ZAPu+jsHJCaV/MntQCZp4wTPinFdJ0fqPV,Administrador,(071) 4132 2001,2025-04-27 14:53:55,Excluído
1129,Asafe Nascimento,ravidias@example.com,PSgPio2oawp3REokxoC9xYi3oJvvBi+gWBswNxBJ7BYwp1EilWo28KCF,Suporte,+55 (084) 3505-7482,2025-01-12 00:02:29,ativo
1130,Theo Macedo,barbarada-cunha@example.org,ZAInhQneNPuC5rPr5QVvO84jtlaRvMpX0gTyVyRFxXb9kjcUCe0kioB4,Cliente,(021) 3474-5035,2025-01-01 23:18:48,ativo
1131,Nicolas Barros,brunocarvalho@example.net,Nh7jprq4viFZ6BviustCjt76qO7ec0qI9C7wKn0v4cU2twF0dLVjIhax,Cliente,+55 84 5163-9916,2025-01-20 04:00:51,Excluído
1132,Dr. Miguel Casa Grande,sarhavi@example.com,oxXC87rBExxqGFc0jvnIMLS/OqA6Lu8shDnXEMyWDkUgLsLHIXwND+bg,Cliente,31 4199 0247,2025-03-16 08:50:53,Banido
1133,Dr. João Guilherme Albuquerque,oaparecida@example.org,pMmlnCV8G6LxtwO5yd7AQOiqFnCOUR69TrI6OWUnCnPbs0fKd2nxcKpD,Freelancer,+55 (021) 3120-5966,2025-04-04 16:56:35,Banido
1134,Clara Moura,heloisacastro@example.com,NHpP6wwr+7feRVbOyfjB/wMwY/EGMozYpQTj/M12DuzBxKSLRoPCbyCF,Cliente,31 1721 2130,2025-04-20 16:01:47,ativo
1135,Sr. João Miguel Mendes,scasa-grande@example.org,MsbgbQxYlHEEkcZHpDrZvSYTZNspSJ/ozQGGdi/O4ypqX/5ifXWomsJH,Administrador,0300-501-0426,2025-01-08 06:28:13,ativo
1136,Antony da Rosa,da-rochajoao@example.com,uB9Ey5AEWjYUcnctP9ZkGwZILqZKMbRIGbX7al8BFUKO3jli4b6tcSID,Cliente,71 6397 0521,,ativo
1137,Igor da Rocha,borgesgiovanna@example.net,pinPYSKNf5nRjGvkzXHf1OXVvjGzw0SneO9F54omDk7VK0gelEn4BCDR,Freelancer,41 9132 3189,,ativo
1138,Gustavo Henrique da Mota,olivia24@example.com,8xyZ5KOvyicQJ1nrfe8MtzYpVsu5Ebt3UyboCX9CMYDy/iKLiuXqb5dr,Cliente,(011) 6517-4036,2025-03-22 07:29:15,ativo
1139,Diogo Melo,hmontenegro@example.org,UobYEzwSS5eC6ryNaA1oD8z3XFzkTu3U4k7gDzPb2OEbrQ380/4E+r2j,Freelancer,+55 (084) 7891-6915,2025-03-23 14:53:18,ativo
1140,Henrique da Conceição,felipe73@example.net,mz67/S4E4CyjmQdgh2Qdp88pxNm8+2+q1XNgqLEsxslY7oYHGlagK3J4,Freelancer,(084) 5579 2312,,ativo
1141,Sr. Emanuel Freitas,caldeiraluara@example.net,w/8oLXaKQYrU780fPeW6Hh2z6/Rwk0GRvZJE5RmIR+IjD4tjVk51bp8d,Cliente,(051) 3830 7767,2025-02-08 03:56:09,ativo
1142,Luara Costa,raulcampos@example.com,vLHDy9yxjz52gQ2AC7X82NCU5I+XtqNQLbeKiCcf1+YDt6PFVXIJrfT/,Cliente,+55 41 2266 1726,,Banido
1143,Sr. Ian Porto,das-nevesana-laura@example.org,ls2B6XD8pJoYQA7HUvoZIkn4wH64Km3976nh8FLeglt9mZyK0bCuGi8W,Freelancer,(081) 6239 0587,2025-02-26 22:22:52,Banido
1144,Gustavo Nascimento,gpereira@example.com,35WOSkXXJLCcYCWpnBFIoJOyNrNwBdM32OB8N5yc86uJa09rsnIrrLv/,Administrador,11 3222-7258,2025-01-26 07:16:28,Excluído
